Date,Hours,Visitors,Visitors/Hr,Notes
9/28/2014,3,66,,
9/29/2014,0,0,,
9/30/2014,6,50,,
10/1/2014,6,67,,
10/2/2014,6,55,,
10/3/2014,5,96,,
10/4/2014,6,106,,
10/5/2014,3,63,,
10/6/2014,3,26,,
10/7/2014,6,29,,
10/8/2014,6,25,,
10/9/2014,5,36,,
10/10/2014,6,64,,
10/11/2014,6,120,,
10/12/2014,3,69,,
10/13/2014,3,32,,
10/14/2014,3,30,,
10/15/2014,6,47,,
10/16/2014,6,105,,
10/17/2014,6,73,,
10/18/2014,6,88,,
10/19/2014,3,71,,
10/20/2014,3,37,,
10/21/2014,6,86,,
10/22/2014,6,22,,
10/23/2014,3,42,,
10/24/2014,6,47,,
10/25/2014,6,65,,
10/26/2014,3,35,,
10/27/2014,3,27,,
10/28/2014,6,23,,
10/29/2014,6,95,,
10/30/2014,6,85,,
10/31/2014,6,56,,
11/1/2014,6,101,,
11/2/2014,3,66,,
11/3/2014,3,38,,
11/4/2014,6,21,,
11/5/2014,6,50,,
11/6/2014,6,76,,
11/7/2014,6,160,,
11/8/2014,6,143,,
11/9/2014,3,79,,
11/10/2014,3,63,,
11/11/2014,6,142,,
11/12/2014,6,60,,
11/13/2014,3,39,,
11/14/2014,2,71,,
11/15/2014,6,118,,
11/16/2014,3,88,,
11/17/2014,3,26,,
11/18/2014,6,30,,
11/19/2014,6,59,,
11/20/2014,6,112,,
11/21/2014,4.5,63,,
11/22/2014,6,148,,
11/23/2014,3,77,,
11/24/2014,3,27,,
11/25/2014,6,167,,
11/26/2014,6,137,,
11/27/2014,0,0,,
11/28/2014,6,145,,
11/29/2014,6,137,,
11/30/2014,3,58,,
